.0271 sec.
iter 85180||epoch:91 || Loss: 0.2458 || timer: 0.0292 sec.
iter 85190||epoch:91 || Loss: 0.2271 || timer: 0.0292 sec.
iter 85200||epoch:92 || Loss: 0.2644 || timer: 0.0282 sec.
iter 85210||epoch:92 || Loss: 0.2555 || timer: 0.0277 sec.
iter 85220||epoch:92 || Loss: 0.2338 || timer: 0.0291 sec.
iter 85230||epoch:92 || Loss: 0.2154 || timer: 0.0271 sec.
iter 85240||epoch:92 || Loss: 0.2332 || timer: 0.0287 sec.
iter 85250||epoch:92 || Loss: 0.2503 || timer: 0.0284 sec.
iter 85260||epoch:92 || Loss: 0.2508 || timer: 0.0284 sec.
iter 85270||epoch:92 || Loss: 0.2739 || timer: 0.0275 sec.
iter 85280||epoch:92 || Loss: 0.2404 || timer: 0.0294 sec.
iter 85290||epoch:92 || Loss: 0.2424 || timer: 0.0288 sec.
iter 85300||epoch:92 || Loss: 0.2514 || timer: 0.0279 sec.
iter 85310||epoch:92 || Loss: 0.2357 || timer: 0.0299 sec.
iter 85320||epoch:92 || Loss: 0.2540 || timer: 0.0277 sec.
iter 85330||epoch:92 || Loss: 0.2316 || timer: 0.0293 sec.
iter 85340||epoch:92 || Loss: 0.2428 || timer: 0.0275 sec.
iter 85350||epoch:92 || Loss: 0.2303 || timer: 0.0286 sec.
iter 85360||epoch:92 || Loss: 0.2426 || timer: 0.0287 sec.
iter 85370||epoch:92 || Loss: 0.2361 || timer: 0.0290 sec.
iter 85380||epoch:92 || Loss: 0.2330 || timer: 0.0287 sec.
iter 85390||epoch:92 || Loss: 0.2583 || timer: 0.0293 sec.
iter 85400||epoch:92 || Loss: 0.2275 || timer: 0.0274 sec.
iter 85410||epoch:92 || Loss: 0.2515 || timer: 0.0272 sec.
iter 85420||epoch:92 || Loss: 0.2259 || timer: 0.0274 sec.
iter 85430||epoch:92 || Loss: 0.2292 || timer: 0.0270 sec.
iter 85440||epoch:92 || Loss: 0.2561 || timer: 0.0272 sec.
iter 85450||epoch:92 || Loss: 0.2385 || timer: 0.0298 sec.
iter 85460||epoch:92 || Loss: 0.2619 || timer: 0.0283 sec.
iter 85470||epoch:92 || Loss: 0.2509 || timer: 0.0285 sec.
iter 85480||epoch:92 || Loss: 0.2259 || timer: 0.0285 sec.
iter 85490||epoch:92 || Loss: 0.2413 || timer: 0.0286 sec.
iter 85500||epoch:92 || Loss: 0.2338 || timer: 0.0271 sec.
iter 85510||epoch:92 || Loss: 0.2293 || timer: 0.0286 sec.
iter 85520||epoch:92 || Loss: 0.2557 || timer: 0.0278 sec.
iter 85530||epoch:92 || Loss: 0.2254 || timer: 0.0278 sec.
iter 85540||epoch:92 || Loss: 0.2672 || timer: 0.0281 sec.
iter 85550||epoch:92 || Loss: 0.2510 || timer: 0.0279 sec.
iter 85560||epoch:92 || Loss: 0.2398 || timer: 0.0274 sec.
iter 85570||epoch:92 || Loss: 0.2280 || timer: 0.0292 sec.
iter 85580||epoch:92 || Loss: 0.2332 || timer: 0.0284 sec.
iter 85590||epoch:92 || Loss: 0.2375 || timer: 0.0277 sec.
iter 85600||epoch:92 || Loss: 0.2297 || timer: 0.0283 sec.
iter 85610||epoch:92 || Loss: 0.2295 || timer: 0.0290 sec.
iter 85620||epoch:92 || Loss: 0.2566 || timer: 0.0278 sec.
iter 85630||epoch:92 || Loss: 0.2439 || timer: 0.0286 sec.
iter 85640||epoch:92 || Loss: 0.2367 || timer: 0.0293 sec.
iter 85650||epoch:92 || Loss: 0.2375 || timer: 0.0295 sec.
iter 85660||epoch:92 || Loss: 0.2540 || timer: 0.0287 sec.
iter 85670||epoch:92 || Loss: 0.2342 || timer: 0.0286 sec.
iter 85680||epoch:92 || Loss: 0.2281 || timer: 0.0275 sec.
iter 85690||epoch:92 || Loss: 0.2468 || timer: 0.0286 sec.
iter 85700||epoch:92 || Loss: 0.2147 || timer: 0.0286 sec.
iter 85710||epoch:92 || Loss: 0.2258 || timer: 0.0285 sec.
iter 85720||epoch:92 || Loss: 0.2373 || timer: 0.0295 sec.
iter 85730||epoch:92 || Loss: 0.2334 || timer: 0.0274 sec.
iter 85740||epoch:92 || Loss: 0.2753 || timer: 0.0297 sec.
iter 85750||epoch:92 || Loss: 0.2407 || timer: 0.0296 sec.
iter 85760||epoch:92 || Loss: 0.2278 || timer: 0.0292 sec.
iter 85770||epoch:92 || Loss: 0.2257 || timer: 0.0287 sec.
iter 85780||epoch:92 || Loss: 0.2650 || timer: 0.0280 sec.
iter 85790||epoch:92 || Loss: 0.2247 || timer: 0.0281 sec.
iter 85800||epoch:92 || Loss: 0.2525 || timer: 0.0285 sec.
iter 85810||epoch:92 || Loss: 0.2470 || timer: 0.0299 sec.
iter 85820||epoch:92 || Loss: 0.2536 || timer: 0.0295 sec.
iter 85830||epoch:92 || Loss: 0.2417 || timer: 0.0290 sec.
iter 85840||epoch:92 || Loss: 0.2564 || timer: 0.0291 sec.
iter 85850||epoch:92 || Loss: 0.2408 || timer: 0.0287 sec.
iter 85860||epoch:92 || Loss: 0.2345 || timer: 0.0281 sec.
iter 85870||epoch:92 || Loss: 0.2372 || timer: 0.0278 sec.
iter 85880||epoch:92 || Loss: 0.2566 || timer: 0.0287 sec.
iter 85890||epoch:92 || Loss: 0.2267 || timer: 0.0282 sec.
iter 85900||epoch:92 || Loss: 0.2561 || timer: 0.0280 sec.
iter 85910||epoch:92 || Loss: 0.2268 || timer: 0.0291 sec.
iter 85920||epoch:92 || Loss: 0.2518 || timer: 0.0274 sec.
iter 85930||epoch:92 || Loss: 0.2525 || timer: 0.0273 sec.
iter 85940||epoch:92 || Loss: 0.2539 || timer: 0.0284 sec.
iter 85950||epoch:92 || Loss: 0.2303 || timer: 0.0281 sec.
iter 85960||epoch:92 || Loss: 0.2456 || timer: 0.0282 sec.
iter 85970||epoch:92 || Loss: 0.2469 || timer: 0.0297 sec.
iter 85980||epoch:92 || Loss: 0.2341 || timer: 0.0288 sec.
iter 85990||epoch:92 || Loss: 0.2395 || timer: 0.0274 sec.
iter 86000||epoch:92 || Loss: 0.2331 || timer: 0.0283 sec.
iter 86010||epoch:92 || Loss: 0.2473 || timer: 0.0274 sec.
iter 86020||epoch:92 || Loss: 0.2297 || timer: 0.0274 sec.
iter 86030||epoch:92 || Loss: 0.2377 || timer: 0.0271 sec.
iter 86040||epoch:92 || Loss: 0.2368 || timer: 0.0294 sec.
iter 86050||epoch:92 || Loss: 0.2240 || timer: 0.0280 sec.
iter 86060||epoch:92 || Loss: 0.2523 || timer: 0.0280 sec.
iter 86070||epoch:92 || Loss: 0.2349 || timer: 0.0283 sec.
iter 86080||epoch:92 || Loss: 0.2526 || timer: 0.0282 sec.
iter 86090||epoch:92 || Loss: 0.2494 || timer: 0.0271 sec.
iter 86100||epoch:92 || Loss: 0.2324 || timer: 0.0273 sec.
iter 86110||epoch:92 || Loss: 0.2397 || timer: 0.0278 sec.
iter 86120||epoch:93 || Loss: 0.2648 || timer: 0.0271 sec.
iter 86130||epoch:93 || Loss: 0.2395 || timer: 0.0273 sec.
iter 86140||epoch:93 || Loss: 0.2457 || timer: 0.0272 sec.
iter 86150||epoch:93 || Loss: 0.2333 || timer: 0.0271 sec.
iter 86160||epoch:93 || Loss: 0.2275 || timer: 0.0280 sec.
iter 86170||epoch:93 || Loss: 0.2629 || timer: 0.0279 sec.
iter 86180||epoch:93 || Loss: 0.2607 || timer: 0.0285 sec.
iter 86190||epoch:93 || Loss: 0.2368 || timer: 0.0279 sec.
iter 86200||epoch:93 || Loss: 0.2234 || timer: 0.0286 sec.
iter 86210||epoch:93 || Loss: 0.2253 || timer: 0.0273 sec.
iter 86220||epoch:93 || Loss: 0.2350 || timer: 0.0270 sec.
iter 86230||epoch:93 || Loss: 0.2434 || timer: 0.0283 sec.
iter 86240||epoch:93 || Loss: 0.2391 || timer: 0.0276 sec.
iter 86250||epoch:93 || Loss: 0.2282 || timer: 0.0270 sec.
iter 86260||epoch:93 || Loss: 0.2428 || timer: 0.0287 sec.
iter 86270||epoch:93 || Loss: 0.2439 || timer: 0.0288 sec.
iter 86280||epoch:93 || Loss: 0.2519 || timer: 0.0271 sec.
iter 86290||epoch:93 || Loss: 0.2270 || timer: 0.0274 sec.
iter 86300||epoch:93 || Loss: 0.2537 || timer: 0.0276 sec.
iter 86310||epoch:93 || Loss: 0.2310 || timer: 0.0270 sec.
iter 86320||epoch:93 || Loss: 0.2295 || timer: 0.0274 sec.
iter 86330||epoch:93 || Loss: 0.2247 || timer: 0.0276 sec.
iter 86340||epoch:93 || Loss: 0.2407 || timer: 0.0281 sec.
iter 86350||epoch:93 || Loss: 0.2336 || timer: 0.0276 sec.
iter 86360||epoch:93 || Loss: 0.2473 || timer: 0.0273 sec.
iter 86370||epoch:93 || Loss: 0.2480 || timer: 0.0288 sec.
iter 86380||epoch:93 || Loss: 0.2242 || timer: 0.0285 sec.
iter 86390||epoch:93 || Loss: 0.2476 || timer: 0.0297 sec.
iter 86400||epoch:93 || Loss: 0.2376 || timer: 0.0294 sec.
iter 86410||epoch:93 || Loss: 0.2356 || timer: 0.0278 sec.
iter 86420||epoch:93 || Loss: 0.2518 || timer: 0.0270 sec.
iter 86430||epoch:93 || Loss: 0.2225 || timer: 0.0286 sec.
iter 86440||epoch:93 || Loss: 0.2337 || timer: 0.0271 sec.
iter 86450||epoch:93 || Loss: 0.2414 || timer: 0.0274 sec.
iter 86460||epoch:93 || Loss: 0.2456 || timer: 0.0274 sec.
iter 86470||epoch:93 || Loss: 0.2301 || timer: 0.0299 sec.
iter 86480||epoch:93 || Loss: 0.2147 || timer: 0.0271 sec.
iter 86490||epoch:93 || Loss: 0.2703 || timer: 0.0282 sec.
iter 86500||epoch:93 || Loss: 0.2485 || timer: 0.0275 sec.
iter 86510||epoch:93 || Loss: 0.2234 || timer: 0.0273 sec.
iter 86520||epoch:93 || Loss: 0.2311 || timer: 0.0271 sec.
iter 86530||epoch:93 || Loss: 0.2507 || timer: 0.0277 sec.
iter 86540||epoch:93 || Loss: 0.2391 || timer: 0.0293 sec.
iter 86550||epoch:93 || Loss: 0.2350 || timer: 0.0290 sec.
iter 86560||epoch:93 || Loss: 0.2213 || timer: 0.0271 sec.
iter 86570||epoch:93 || Loss: 0.2416 || timer: 0.0283 sec.
iter 86580||epoch:93 || Loss: 0.2547 || timer: 0.0283 sec.
iter 86590||epoch:93 || Loss: 0.2385 || timer: 0.0271 sec.
iter 86600||epoch:93 || Loss: 0.2481 || timer: 0.0279 sec.
iter 86610||epoch:93 || Loss: 0.2378 || timer: 0.0288 sec.
iter 86620||epoch:93 || Loss: 0.2639 || timer: 0.0279 sec.
iter 86630||epoch:93 || Loss: 0.2387 || timer: 0.0286 sec.
iter 86640||epoch:93 || Loss: 0.2503 || timer: 0.0273 sec.
iter 86650||epoch:93 || Loss: 0.2679 || timer: 0.0274 sec.
iter 86660||epoch:93 || Loss: 0.2578 || timer: 0.0273 sec.
iter 86670||epoch:93 || Loss: 0.2376 || timer: 0.0281 sec.
iter 86680||epoch:93 || Loss: 0.2443 || timer: 0.0275 sec.
iter 86690||epoch:93 || Loss: 0.2565 || timer: 0.0273 sec.
iter 86700||epoch:93 || Loss: 0.2407 || timer: 0.0280 sec.
iter 86710||epoch:93 || Loss: 0.2357 || timer: 0.0293 sec.
iter 86720||epoch:93 || Loss: 0.2492 || timer: 0.0276 sec.
iter 86730||epoch:93 || Loss: 0.2296 || timer: 0.0310 sec.
iter 86740||epoch:93 || Loss: 0.2363 || timer: 0.0275 sec.
iter 86750||epoch:93 || Loss: 0.2330 || timer: 0.0280 sec.
iter 86760||epoch:93 || Loss: 0.2473 || timer: 0.0277 sec.
iter 86770||epoch:93 || Loss: 0.2360 || timer: 0.0288 sec.
iter 86780||epoch:93 || Loss: 0.2455 || timer: 0.0283 sec.
iter 86790||epoch:93 || Loss: 0.2400 || timer: 0.0274 sec.
iter 86800||epoch:93 || Loss: 0.2495 || timer: 0.0284 sec.
iter 86810||epoch:93 || Loss: 0.2380 || timer: 0.0283 sec.
iter 86820||epoch:93 || Loss: 0.2171 || timer: 0.0271 sec.
iter 86830||epoch:93 || Loss: 0.2386 || timer: 0.0271 sec.
iter 86840||epoch:93 || Loss: 0.2461 || timer: 0.0281 sec.
iter 86850||epoch:93 || Loss: 0.2524 || timer: 0.0282 sec.
iter 86860||epoch:93 || Loss: 0.2560 || timer: 0.0274 sec.
iter 86870||epoch:93 || Loss: 0.2449 || timer: 0.0272 sec.
iter 86880||epoch:93 || Loss: 0.2364 || timer: 0.0273 sec.
iter 86890||epoch:93 || Loss: 0.2360 || timer: 0.0274 sec.
iter 86900||epoch:93 || Loss: 0.2419 || timer: 0.0271 sec.
iter 86910||epoch:93 || Loss: 0.2252 || timer: 0.0278 sec.
iter 86920||epoch:93 || Loss: 0.2206 || timer: 0.0285 sec.
iter 86930||epoch:93 || Loss: 0.2498 || timer: 0.0272 sec.
iter 86940||epoch:93 || Loss: 0.2489 || timer: 0.0273 sec.
iter 86950||epoch:93 || Loss: 0.2615 || timer: 0.0275 sec.
iter 86960||epoch:93 || Loss: 0.2415 || timer: 0.0282 sec.
